pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread,3_scale_bias,5_scale_bias,3_scale_bias_num,5_scale_bias_num,respondent_type_num,year,month_start,day_start,month_end,day_end
InsiderAdvantage,2024-11-01,2024-11-02,AZ,800,LV,49.0,46.0,3.0,3.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,11,1,11,2
NY Times,2024-10-25,2024-11-02,AZ,1025,LV,49.0,45.0,3.25,4.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,25,11,2
Atlas Intel,2024-11-01,2024-11-02,AZ,967,LV,52.0,46.0,3.0,6.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
Noble Predictive Insights,2024-10-28,2024-10-30,AZ,775,LV,48.0,47.0,3.5,1.0,independent,independent,0.0,0.0,1,2024,10,28,10,30
Rasmussen Reports,2024-10-25,2024-10-29,AZ,803,LV,48.0,46.0,3.0,2.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,25,10,29
Data Orbital,2024-10-26,2024-10-28,AZ,550,LV,50.0,42.0,4.3,8.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,26,10,28
Trafalgar Group (R),2024-10-24,2024-10-26,AZ,1094,LV,48.0,46.0,2.9,2.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,24,10,26
Morning Consult,2024-10-20,2024-10-29,AZ,803,LV,48.0,48.0,3.25,0.0,,,,,1,2024,10,20,10,29
CNN,2024-10-21,2024-10-26,AZ,781,LV,47.0,48.0,4.4,-1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,21,10,26
Marist,2024-10-17,2024-10-22,AZ,1193,LV,50.0,49.0,3.7,1.0,independent,independent,0.0,0.0,1,2024,10,17,10,22
The Hill,2024-10-24,2024-10-29,GA,800,LV,50.0,49.0,3.4,1.0,independent,independent,0.0,0.0,1,2024,10,24,10,29
NY Times,2024-10-24,2024-11-02,GA,1004,LV,47.0,48.0,3.4,-1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,24,11,2
InsiderAdvantage,2024-11-02,2024-11-03,GA,800,LV,49.0,48.0,3.7,1.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,11,2,11,3
Atlas Intel,2024-11-01,2024-11-02,GA,1174,LV,50.0,48.0,3.0,2.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
Rasmussen Reports,2024-10-25,2024-10-28,GA,910,LV,51.0,46.0,3.0,5.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,25,10,28
CNN,2024-10-23,2024-10-28,GA,732,LV,48.0,47.0,4.7,1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,23,10,28
Trafalgar Group (R),2024-10-24,2024-10-26,GA,1087,LV,48.0,46.0,2.9,2.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,24,10,26
Morning Consult,2024-10-20,2024-10-29,GA,957,LV,50.0,48.0,3.4,2.0,,,,,1,2024,10,20,10,29
Marist,2024-10-17,2024-10-22,GA,1193,LV,49.0,49.0,3.9,0.0,independent,independent,0.0,0.0,1,2024,10,17,10,22
AmGreatness,2024-10-14,2024-10-16,GA,813,LV,49.0,48.0,3.5,1.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,14,10,16
Quinnipiac,2024-10-10,2024-10-14,GA,1328,LV,52.0,46.0,2.7,6.0,pro-democratic,likely pro-democratic,-1.0,-1.0,1,2024,10,10,10,14
The Hill,2024-10-24,2024-10-29,MI,790,LV,48.0,50.0,3.4,-2.0,independent,independent,0.0,0.0,1,2024,10,24,10,29
NY Times,2024-10-29,2024-11-02,MI,998,LV,47.0,47.0,3.45,0.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,29,11,2
Trafalgar Group (R),2024-11-01,2024-11-03,MI,1079,LV,48.0,47.0,2.9,1.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,11,1,11,3
InsiderAdvantage,2024-11-01,2024-11-02,MI,800,LV,47.0,47.0,3.7,0.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,11,1,11,2
MNS,2024-10-29,2024-11-02,MI,585,LV,48.0,50.0,4.0,-2.0,independent,independent,0.0,0.0,1,2024,10,29,11,2
Atlas Intel,2024-11-01,2024-11-02,MI,1198,LV,50.0,48.0,3.0,2.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
Rasmussen Reports,2024-10-24,2024-11-01,MI,908,LV,48.0,49.0,3.0,-1.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,24,11,1
Marist,2024-10-27,2024-10-30,MI,1214,LV,48.0,51.0,3.5,-3.0,independent,independent,0.0,0.0,1,2024,10,27,10,30
Washington Post,2024-10-24,2024-10-28,MI,1003,LV,46.0,47.0,3.7,-1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,24,10,28
FOX News,2024-10-24,2024-10-28,MI,988,LV,49.0,49.0,3.0,0.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,24,10,28
USA Today,2024-10-24,2024-10-27,MI,500,LV,47.0,47.0,4.0,0.0,independent,independent,0.0,0.0,1,2024,10,24,10,27
Morning Consult,2024-10-21,2024-10-30,MI,988,LV,48.0,49.0,3.45,-1.0,,,,,1,2024,10,21,10,30
Susquehanna,2024-10-23,2024-10-27,MI,400,LV,47.0,52.0,4.9,-5.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,23,10,27
Quinnipiac,2024-10-17,2024-10-21,MI,1136,LV,46.0,50.0,2.9,-4.0,pro-democratic,likely pro-democratic,-1.0,-1.0,1,2024,10,17,10,21
The Hill,2024-10-24,2024-10-29,NC,860,LV,49.0,48.0,3.3,1.0,independent,independent,0.0,0.0,1,2024,10,24,10,29
East Carolina U.,2024-10-24,2024-10-29,NC,1250,LV,50.0,48.0,3.0,2.0,independent,independent,0.0,0.0,1,2024,10,24,10,29
NY Times,2024-10-28,2024-11-02,NC,1010,LV,46.0,48.0,3.3,-2.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,28,11,2
InsiderAdvantage,2024-11-01,2024-11-02,NC,800,LV,49.0,47.0,3.4,2.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,11,1,11,2
Atlas Intel,2024-11-01,2024-11-02,NC,1310,LV,51.0,47.0,3.0,4.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
Rasmussen Reports,2024-10-25,2024-10-28,NC,849,LV,50.0,47.0,3.0,3.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,25,10,28
Morning Consult,2024-10-22,2024-10-31,NC,866,LV,49.0,47.0,3.3,2.0,,,,,1,2024,10,22,10,31
Trafalgar Group (R),2024-10-25,2024-10-28,NC,1091,LV,49.0,46.0,2.9,3.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,25,10,28
FOX News,2024-10-24,2024-10-28,NC,872,LV,50.0,49.0,3.0,1.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,24,10,28
CNN,2024-10-23,2024-10-28,NC,750,LV,47.0,48.0,4.5,-1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,23,10,28
WRAL-TV,2024-10-23,2024-10-26,NC,853,LV,47.0,47.0,4.1,0.0,pro-democratic,likely pro-democratic,-1.0,-1.0,1,2024,10,23,10,26
Marist,2024-10-17,2024-10-22,NC,1226,LV,50.0,48.0,3.6,2.0,independent,independent,0.0,0.0,1,2024,10,17,10,22
UMass Lowell,2024-10-16,2024-10-23,NC,650,LV,47.0,45.0,4.2,2.0,independent,independent,0.0,0.0,1,2024,10,16,10,23
NY Times,2024-10-24,2024-11-02,NV,1010,LV,46.0,49.0,4.0,-3.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,24,11,2
Atlas Intel,2024-11-01,2024-11-02,NV,782,LV,52.0,46.0,4.0,6.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
Noble Predictive Insights,2024-10-28,2024-10-31,NV,593,LV,48.0,49.0,4.0,-1.0,independent,independent,0.0,0.0,1,2024,10,28,10,31
Susquehanna,2024-10-28,2024-10-31,NV,400,LV,50.0,44.0,4.9,6.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,28,10,31
Emerson,2024-10-29,2024-10-31,NV,700,LV,47.0,48.0,3.6,-1.0,independent,independent,0.0,0.0,1,2024,10,29,10,31
Rasmussen Reports,2024-10-25,2024-10-28,NV,767,LV,49.0,47.0,3.0,2.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,25,10,28
Trafalgar Group (R),2024-10-25,2024-10-28,NV,1082,LV,48.0,48.0,2.9,0.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,25,10,28
CNN,2024-10-21,2024-10-26,NV,683,LV,48.0,47.0,4.6,1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,21,10,26
InsiderAdvantage,2024-10-20,2024-10-21,NV,800,LV,48.0,48.0,3.5,0.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,20,10,21
Bloomberg,2024-10-16,2024-10-20,NV,449,LV,48.0,49.0,5.0,-1.0,pro-democratic,likely pro-democratic,-1.0,-1.0,1,2024,10,16,10,20
Fabrizio,2024-10-08,2024-10-15,NV,600,LV,49.0,47.0,4.0,2.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,8,10,15
The Hill,2024-10-24,2024-10-29,PA,1000,LV,49.0,48.0,3.0,1.0,independent,independent,0.0,0.0,1,2024,10,24,10,29
NY Times,2024-10-29,2024-11-02,PA,1527,LV,48.0,48.0,3.1,0.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,29,11,2
Trafalgar Group (R),2024-11-01,2024-11-03,PA,1089,LV,48.0,47.0,2.9,1.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,11,1,11,3
Atlas Intel,2024-11-01,2024-11-02,PA,2049,LV,50.0,48.0,2.0,2.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
InsiderAdvantage,2024-11-01,2024-11-02,PA,800,LV,49.0,48.0,3.5,1.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,11,1,11,2
Muhlenberg College,2024-10-27,2024-10-30,PA,469,LV,47.0,49.0,6.0,-2.0,independent,independent,0.0,0.0,1,2024,10,27,10,30
USA Today,2024-10-27,2024-10-30,PA,500,LV,49.0,49.0,4.4,0.0,independent,independent,0.0,0.0,1,2024,10,27,10,30
Marist,2024-10-27,2024-10-30,PA,1400,LV,48.0,50.0,3.1,-2.0,independent,independent,0.0,0.0,1,2024,10,27,10,30
Washington Post,2024-10-26,2024-10-30,PA,1204,LV,47.0,48.0,3.1,-1.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,26,10,30
Rasmussen Reports,2024-10-25,2024-10-28,PA,849,LV,49.0,47.0,3.0,2.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,25,10,28
Morning Consult,2024-10-21,2024-10-30,PA,1028,LV,48.0,48.0,3.1,0.0,,,,,1,2024,10,21,10,30
FOX News,2024-10-24,2024-10-28,PA,1057,LV,50.0,49.0,3.0,1.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,24,10,28
Quinnipiac,2024-10-24,2024-10-28,PA,2186,LV,49.0,47.0,2.1,2.0,pro-democratic,likely pro-democratic,-1.0,-1.0,1,2024,10,24,10,28
CNN,2024-10-23,2024-10-28,PA,819,LV,48.0,48.0,4.7,0.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,23,10,28
CBS News,2024-10-22,2024-10-28,PA,1273,LV,49.0,49.0,3.9,0.0,pro-democratic,likely pro-democratic,-1.0,-1.0,1,2024,10,22,10,28
AmGreatness,2024-10-22,2024-10-26,PA,600,LV,47.0,47.0,4.0,0.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,22,10,26
Susquehanna,2024-10-18,2024-10-22,PA,500,LV,46.0,46.0,4.4,0.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,18,10,22
The Hill,2024-10-24,2024-10-29,WI,800,LV,49.0,49.0,3.4,0.0,independent,independent,0.0,0.0,1,2024,10,24,10,29
NY Times,2024-10-25,2024-11-02,WI,1305,LV,47.0,49.0,3.4,-2.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,25,11,2
InsiderAdvantage,2024-11-01,2024-11-02,WI,800,LV,49.0,48.0,3.4,1.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,11,1,11,2
Trafalgar Group (R),2024-11-01,2024-11-03,WI,1086,LV,47.0,48.0,2.9,-1.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,11,1,11,3
Atlas Intel,2024-11-01,2024-11-02,WI,728,LV,50.0,49.0,4.0,1.0,independent,independent,0.0,0.0,1,2024,11,1,11,2
Marist,2024-10-27,2024-10-30,WI,1330,LV,48.0,50.0,3.4,-2.0,independent,independent,0.0,0.0,1,2024,10,27,10,30
Rasmussen Reports,2024-10-25,2024-10-29,WI,818,LV,50.0,47.0,3.0,3.0,pro-republican,likely pro-republican,1.0,1.0,1,2024,10,25,10,29
AmGreatness,2024-10-28,2024-10-30,WI,831,LV,48.0,48.0,3.5,0.0,pro-republican,strongly pro-republican,1.0,2.0,1,2024,10,28,10,30
Morning Consult,2024-10-21,2024-10-30,WI,809,LV,48.0,48.0,3.4,0.0,,,,,1,2024,10,21,10,30
CNN,2024-10-23,2024-10-28,WI,736,LV,45.0,51.0,4.8,-6.0,pro-democratic,strongly pro-democratic,-1.0,-2.0,1,2024,10,23,10,28
USA Today,2024-10-20,2024-10-23,WI,500,LV,48.0,47.0,4.4,1.0,independent,independent,0.0,0.0,1,2024,10,20,10,23
Marquette,2024-10-16,2024-10-24,WI,753,LV,49.0,50.0,4.4,-1.0,independent,independent,0.0,0.0,1,2024,10,16,10,24
Quinnipiac,2024-10-17,2024-10-21,WI,1108,LV,48.0,48.0,2.9,0.0,pro-democratic,likely pro-democratic,-1.0,-1.0,1,2024,10,17,10,21
